request,category,action,confidence,capabilities
"check alerts for staging",monitoring,check_health,0.85,"system_monitoring|service_management"
"update apache configuration",configuration,change_settings,0.93,"system_info|service_management"
"change port to 100",configuration,configure_service,0.96,"service_management|system_info"
"describe load balancer",information,show_examples,0.82,"system_info|infrastructure_info"
"get asset db-prod-01",asset_management,asset_count,0.89,"asset_management|asset_query|network_info"
"describe database cluster",information,math,0.75,"system_info|infrastructure_info"
"configure apache on server1",configuration,set_permissions,0.89,"system_info|disk_management|service_management"
"update security settings for postgresql",configuration,update_environment,0.86,"system_info|service_management"
"investigate permission denied in service",troubleshooting,diagnose_issue,0.84,"system_monitoring|log_analysis|process_monitoring|network_testing"
"run deploy.py on server1",automation,run_script,0.83,"system_info|process_management"
"show process list",information,show_documentation,0.97,"system_info"
"restart redis service",automation,stop_service,0.94,"service_management|system_monitoring|process_management"
"explain firewall rules",information,provide_information,0.95,"system_info|infrastructure_info|resource_listing"
"diagnose nginx issue",troubleshooting,fix_problem,0.83,"service_management|system_info|process_management|system_monitoring"
"backup /var/www to /backup",automation,restore_data,0.81,"disk_management|system_info"
"count active servers",asset_management,list_credentials,0.86,"credential_access|secret_retrieval|asset_management"
"update production settings",configuration,update_config,0.9,"system_info|service_management"
"change timeout to 512MB",configuration,change_settings,0.97,"system_info|service_management"
"configure ssh on web-01",configuration,update_security,0.86,"system_info|service_management|disk_management"
"show dashboard for ssh",monitoring,view_logs,0.91,"log_analysis|system_info"
"configure ssh on db-server",configuration,update_security,0.78,"system_info|service_management"
"emergency shutdown of apache",automation,deploy_application,0.8,"service_management|disk_management|system_monitoring"
"change memory_limit to 8080",configuration,modify_parameters,0.95,"system_info|service_management"
"get CPU metrics for 192.168.1.100",monitoring,view_logs,0.9,"log_analysis|system_info|process_monitoring"
"diagnose ssh issue",troubleshooting,diagnose_issue,0.9,"system_monitoring|log_analysis|process_monitoring"
"execute systemctl status",automation,deploy_application,0.83,"service_management|disk_management|system_monitoring"
"check health of service",monitoring,get_metrics,0.79,"system_monitoring|memory_monitoring|disk_monitoring|log_analysis"
"read /var/log/nginx/access.log",information,answer_question,0.82,"system_info"
"check status of redis",monitoring,get_metrics,0.78,"system_monitoring|memory_monitoring|disk_monitoring"
"check alerts for development",monitoring,view_dashboard,0.96,"system_monitoring|api_query"
"find asset by IP address",asset_management,get_asset,0.96,"asset_management|asset_query"
"debug web app performance",troubleshooting,diagnose_issue,0.92,"system_monitoring|log_analysis|process_monitoring"
"execute systemctl status",automation,start_service,0.77,"service_management|system_monitoring"
"what is the status of application",information,show_documentation,0.76,"system_info"
